

                                          Current Status of Mail Jobs Processed
                                                                               Mail      Mail     Mail      Print    Print
     Jobname          GlobalID   MSO            MSO Information               Pieces     Date     Time      Date     Time
-------------------- ---------- ------- ----------------------------------  --------- ---------- -------- --------  --------






 


                                         Report of Latest Completed Jobs

   Start        Start       End         End          Pages     Sheets
   Date         Time        Date        Time        Printed    Printed   Printer       JobName           JOBID      Form     GlobalID
 06/25/2015   09:46:27   06/25/2015    09:47:23            4          4   PRT78              AD32867R   JOB31969      ZY81  5124033771
 06/25/2015   09:45:19   06/25/2015    09:51:44          124        124   PRT67              DC10132J   JOB30905      ZY26  5124033766
 06/25/2015   10:14:13   06/25/2015    10:16:32          263        263   PRT72              AD32860A   JOB31910      ACHX  5124033770
 06/25/2015   10:19:07   06/25/2015    10:19:29            8          8   PRT72              AD32876J   JOB31624      ACHX  5124033769
 06/25/2015   10:37:51   06/25/2015    10:43:36          346        123   PRT78              DODAPC01   infosele      XM01  5124033777
 06/25/2015   10:45:54   06/25/2015    10:46:54           10         10   PRT67              REVB6BW2   JOB32195      0036  5124033773
 06/25/2015   10:50:21   06/25/2015    10:52:51          346        124   PRT78              DODAPC01   infosele      XM01  5124033777
 06/25/2015   10:23:34   06/25/2015    11:14:10         5806       2903   PRT72              AD32867R   JOB31969      RCHX  5124033772
 06/25/2015   10:54:18   06/25/2015    11:22:44         2621       1189   PRT78              DODAPC01   infosele      XM01  5124033776
 06/25/2015   12:04:44   06/25/2015    12:05:22           36         19   PRT78              KDWS417F   JOB34539  ZY81TEST  5124033794
 06/25/2015   12:04:47   06/25/2015    12:05:58           78         40   PRT78              KDWS417A   JOB35394  ZY81TEST  5124033795
 06/25/2015   12:04:51   06/25/2015    12:12:41            1          1   PRT78               DNRP690   infosele      ZY81  5124033789
 06/25/2015   12:14:35   06/25/2015    12:14:56            7          7   PRT78               DNRP690   infosele      ZY81  5124033789
 06/25/2015   12:14:37   06/25/2015    12:15:42           92         92   PRT78               DNRP619   infosele      ZY81  5124033779
 06/25/2015   12:14:42   06/25/2015    12:15:42            5          5   PRT78               DNRP589   infosele      ZY81  5124033790
 06/25/2015   12:14:44   06/25/2015    12:15:52           19         19   PRT78               DNRP585   infosele      ZY81  5124033781
 06/25/2015   12:18:05   06/25/2015    12:20:12          236        119   PRT78  HEPLUS_VENDOR_REGIST   infosele      ZY81  5124033793
 06/25/2015   12:18:14   06/25/2015    12:21:53          228        115   PRT78  HEPLUS_PEOPLE_LETTER   infosele      ZY81  5124033792
 06/25/2015   12:23:59   06/25/2015    12:25:40           10         10   PRT67              LAEOMSMA   JOB36646      ZY90  5124033796
 06/25/2015   12:24:00   06/25/2015    12:26:46           28         28   PRT67              LAEOMBIG   JOB36648      ZY90  5124033797
 06/25/2015   12:25:41   06/25/2015    12:26:46            4          4   PRT67               DNRC305   infosele      ZY90  5124033782
 06/25/2015   12:21:51   06/25/2015    13:12:56         5002       2502   PRT78  HEPLUS_PEOPLE_LETTER   infosele      ZY81  5124033791
 06/25/2015   13:29:40   06/25/2015    13:30:18           10          6   PRT78              JX1027FS    prd1ips      ZY81  5124033800
 06/25/2015   12:09:44   06/25/2015    13:36:45         6326       6326   PRT72              AD32874J   JOB31316      ACHX  5124033768
 06/25/2015   13:47:05   06/25/2015    13:51:13          357        357   PRT78               DNRP518   infosele      N518  5124033778
 06/25/2015   13:47:23   06/25/2015    13:51:13            4          4   PRT78               DNRP518   infosele      N518  5124033780
 06/25/2015   13:52:21   06/25/2015    13:52:47           24          5   PRT78               DNRP331   infosele      ZY65  5124033788
 06/25/2015   13:53:29   06/25/2015    13:53:55           24          5   PRT78               DNRP331   infosele      ZY65  5124033788
 06/25/2015   14:15:37   06/25/2015    14:16:30           68         35   PRT78              KDWS417E   JOB39311  ZY81TEST  5124033804
 06/25/2015   14:15:39   06/25/2015    14:16:45           31         17   PRT78              #TEST551   JOB39220      ZY81  5124033801
 06/25/2015   14:15:42   06/25/2015    14:16:50           16          9   PRT78              #TEST360   JOB39868      ZY81  5124033805


                                         Report of Latest Completed Jobs

   Start        Start       End         End          Pages     Sheets
   Date         Time        Date        Time        Printed    Printed   Printer       JobName           JOBID      Form     GlobalID
 ----------  ----------  ----------   ----------   ---------- ----------  -----  --------------------   --------  --------  ----------
 06/25/2015   14:27:20   06/25/2015    14:27:47           12          7   PRT78              #TEST084   JOB40320      ZY17  5124033811
 06/25/2015   14:31:01   06/25/2015    14:31:41           10         10   PRT67              AD21321P   JOB40045      ZY10  5124033806
 06/25/2015   14:59:04   06/25/2015    15:20:12         1326       1326   PRT75              DNRP598O   infosele     N598O  5124033785
 06/25/2015   15:25:35   06/25/2015    15:26:36           68         34   PRT72              KDWS417E   JOB44291  ZY81TEST  5124033816
 06/25/2015   15:25:37   06/25/2015    15:26:51           36         19   PRT72              KDWS417F   JOB44368  ZY81TEST  5124033817
 06/25/2015   15:25:21   06/25/2015    15:27:06          173        173   PRT75              DNRP598B   infosele     N598B  5124033783
 06/25/2015   15:27:57   06/25/2015    15:28:35            8          8   PRT75              DNRP598G   infosele     N598G  5124033784
 06/25/2015   15:35:11   06/25/2015    15:41:25           85         85   PRT75              DNRP598R   infosele     N598R  5124033786
 06/25/2015   15:42:56   06/25/2015    15:43:41           33         33   PRT75              DNRP598Y   infosele     N598Y  5124033787
 06/25/2015   16:00:42   06/25/2015    16:01:41           78         40   PRT72              KDWS417A   JOB46205  ZY81TEST  5124033820
 06/25/2015   16:01:49   06/25/2015    16:09:17          842        425   PRT78              AD04002P   JOB45153      ZY80  5124033818
 06/25/2015   16:30:25   06/25/2015    16:32:03            5          5   PRT71              AD21321P   JOB40045     ZY200  5124033807
 06/25/2015   16:30:27   06/25/2015    16:32:03            5          5   PRT71              AD21321P   JOB43021     ZY200  5124033813
 06/25/2015   16:34:44   06/25/2015    16:35:22           52         14   PRT71              #TEST050   JOB37703      T050  5124033798
 06/25/2015   16:38:47   06/25/2015    16:39:32            9          4   PRT71                 #T051   JOB39280      T051  5124033803
 06/25/2015   17:04:14   06/25/2015    17:10:51           39         39   PRT68              AD21322P   JOB43670      ZY02  5124033814
 06/25/2015   17:04:15   06/25/2015    17:11:34          144        144   PRT68              AD21322P   JOB43670      ZY02  5124033815
 06/25/2015   17:16:51   06/25/2015    17:29:44           81         81   PRT67              DC70133J   JOB49080      ZY07  5124033822
 06/25/2015   17:16:52   06/25/2015    17:30:33           48         48   PRT67              PW70133J   JOB49364      ZY07  5124033823
 06/25/2015   17:32:53   06/25/2015    17:33:14            9          9   PRT72              #7012180   JOB50181      ZY81  5124033825
 06/25/2015   17:32:54   06/25/2015    17:33:29           34         34   PRT72              #7012180   JOB50181      ZY81  5124033826
 06/25/2015   17:32:57   06/25/2015    17:33:59           68         68   PRT72              #7614077   JOB50269      ZY81  5124033827
 06/25/2015   17:33:01   06/25/2015    17:33:59            6          6   PRT72              DC70140Z   JOB49559      ZY81  5124033824
 06/25/2015   17:38:52   06/25/2015    17:41:34           10         10   PRT67              AD21321P   JOB43021      ZY10  5124033812
 06/25/2015   17:53:47   06/25/2015    17:55:49          234        118   PRT72              #7016414   JOB50576      ZY81  5124033829
 06/25/2015   17:53:54   06/25/2015    17:56:19           74         38   PRT72              #7017150   JOB50656      ZY81  5124033830
 06/25/2015   18:08:18   06/25/2015    18:08:42            4          4   PRT72               #OTPXHP   JOB51302      ZY81  5124033831
 06/25/2015   18:08:19   06/25/2015    18:08:42            5          5   PRT72               #OTPXHP   JOB51302      ZY81  5124033832
 06/25/2015   18:08:22   06/25/2015    18:08:42            6          6   PRT72               #OTPXHP   JOB51302      ZY81  5124033833
 06/25/2015   18:08:24   06/25/2015    18:12:43          357        298   PRT72               #OTPXHP   JOB51302      ZY81  5124033834
 06/25/2015   18:08:40   06/25/2015    18:12:43            4          4   PRT72               #OTPXHP   JOB51302      ZY81  5124033835
 06/25/2015   18:08:42   06/25/2015    18:12:43            4          4   PRT72               #OTPXHP   JOB51302      ZY81  5124033836
 06/25/2015   18:08:45   06/25/2015    18:12:45            3          3   PRT72               #OTPXHP   JOB51302      ZY81  5124033837
 06/25/2015   18:08:46   06/25/2015    18:12:45            3          3   PRT72               #OTPXHP   JOB51302      ZY81  5124033838
 06/25/2015   18:08:48   06/25/2015    18:12:47            3          3   PRT72               #OTPXHP   JOB51302      ZY81  5124033839
 06/25/2015   18:08:51   06/25/2015    18:12:58           10          8   PRT72               #OTPXHP   JOB51302      ZY81  5124033840
 06/25/2015   18:08:52   06/25/2015    18:12:58            3          3   PRT72               #OTPXHP   JOB51302      ZY81  5124033841
 06/25/2015   18:08:54   06/25/2015    18:12:58            3          3   PRT72               #OTPXHP   JOB51302      ZY81  5124033842
 06/25/2015   18:12:44   06/25/2015    18:13:03            9          9   PRT72               #OTPXHP   JOB51302      ZY81  5124033843
 06/25/2015   18:12:45   06/25/2015    18:13:03            5          5   PRT72               #OTPXHP   JOB51302      ZY81  5124033844
 06/25/2015   18:08:18   06/25/2015    18:16:15           75         75   PRT68              #3267005   JOB51440      T080  5124033845
 06/25/2015   18:43:12   06/25/2015    18:43:37            6          4   PRT72              JI1242P1    prd1ips      ZY81  5124033849
 06/25/2015   18:43:13   06/25/2015    18:43:42            8          5   PRT72              JK0813P1    prd1ips      ZY81  5124033847
 06/25/2015   18:43:15   06/25/2015    18:44:57          180         91   PRT72              JM1427P3    prd1ips      ZY81  5124033848
 06/25/2015   18:51:05   06/25/2015    18:51:26            4          4   PRT72              JI1755P1    prd1ips      ZY81  5124033851
 06/25/2015   18:51:07   06/25/2015    18:51:31            6          6   PRT72              JK0236P2    prd1ips      ZY81  5124033854
 06/25/2015   18:51:09   06/25/2015    18:51:31            4          4   PRT72              JK0298P1    prd1ips      ZY81  5124033852
 06/25/2015   19:44:34   06/25/2015    19:45:03           22         13   PRT72              JE1064P2    prd1ips      ZY81  5124033865
 06/25/2015   19:44:36   06/25/2015    19:45:06            5          5   PRT72              JE1064P3    prd1ips      ZY81  5124033863
 06/25/2015   19:44:38   06/25/2015    19:45:08            5          5   PRT72              JE1064P4    prd1ips      ZY81  5124033867
 06/25/2015   19:44:40   06/25/2015    19:45:10            5          5   PRT72              JE1064P5    prd1ips      ZY81  5124033866
 06/25/2015   19:44:42   06/25/2015    19:45:12            3          3   PRT72              JE1065P1    prd1ips      ZY81  5124033890
 06/25/2015   19:44:44   06/25/2015    19:45:15            5          5   PRT72              JE1079P1    prd1ips      ZY81  5124033883


                                         Report of Latest Completed Jobs

   Start        Start       End         End          Pages     Sheets
   Date         Time        Date        Time        Printed    Printed   Printer       JobName           JOBID      Form     GlobalID
 ----------  ----------  ----------   ----------   ---------- ----------  -----  --------------------   --------  --------  ----------
 06/25/2015   19:44:46   06/25/2015    19:45:18            5          5   PRT72              JE1079P2    prd1ips      ZY81  5124033886
 06/25/2015   19:44:48   06/25/2015    19:45:38           44         24   PRT72              JE1079P3    prd1ips      ZY81  5124033884
 06/25/2015   19:44:51   06/25/2015    19:45:38            5          5   PRT72              JE1079P6    prd1ips      ZY81  5124033885
 06/25/2015   19:45:05   06/25/2015    19:45:40            4          4   PRT72              JE1095P4    prd1ips      ZY81  5124033882
 06/25/2015   19:45:07   06/25/2015    19:45:46           13         13   PRT72              JE1132P1    prd1ips      ZY81  5124033891
 06/25/2015   19:45:09   06/25/2015    19:45:46            5          5   PRT72              JK0233P1    prd1ips      ZY81  5124033859
 06/25/2015   19:45:11   06/25/2015    19:46:01           26         14   PRT72              JK0801P8    prd1ips      ZY81  5124033869
 06/25/2015   19:45:14   06/25/2015    19:46:32           54         28   PRT72              JK0801PE    prd1ips      ZY81  5124033870
 06/25/2015   19:45:16   06/25/2015    19:46:32            6          4   PRT72              JK0801PK    prd1ips      ZY81  5124033871
 06/25/2015   19:45:20   06/25/2015    19:46:48           40         21   PRT72              JK0801PL    prd1ips      ZY81  5124033872
 06/25/2015   19:45:24   06/25/2015    19:46:57           91         90   PRT71              DC10871J   JOB55662     ZY200  5124033878
 06/25/2015   19:45:39   06/25/2015    19:46:58           32         17   PRT72              JK0810P2    prd1ips      ZY81  5124033860
 06/25/2015   19:45:40   06/25/2015    19:47:28           68         35   PRT72              JK0810P3    prd1ips      ZY81  5124033858
 06/25/2015   19:44:16   06/25/2015    19:47:36           54         30   PRT78              JE1088P2    prd1ips      ZY80  5124033887
 06/25/2015   19:44:18   06/25/2015    19:47:41            4          4   PRT78              JE1095P1    prd1ips      ZY80  5124033880
 06/25/2015   19:46:34   06/25/2015    19:47:41            4          4   PRT78              JE1095P2    prd1ips      ZY80  5124033879
 06/25/2015   19:46:36   06/25/2015    19:47:41            4          4   PRT78              JE1095P3    prd1ips      ZY80  5124033881
 06/25/2015   19:46:38   06/25/2015    19:47:46           12         12   PRT78              JE1127P1    prd1ips      ZY80  5124033889
 06/25/2015   19:45:24   06/25/2015    19:47:55          238        238   PRT71              PW32558J   JOB50364     ZY200  5124033828
 06/25/2015   19:45:44   06/25/2015    19:48:06           76         39   PRT72              JK0810P4    prd1ips      ZY81  5124033861
 06/25/2015   19:45:47   06/25/2015    19:48:06            6          6   PRT72                JM4847    prd1ips      ZY81  5124033862
 06/25/2015   19:45:49   06/25/2015    19:48:11            7          6   PRT72                JM4847    prd1ips      ZY81  5124033864
 06/25/2015   19:46:02   06/25/2015    19:49:37          192         97   PRT72      DET_WOTC_Letters   infosele      ZY81  5124033856
 06/25/2015   19:46:33   06/25/2015    19:49:37            9          9   PRT72              PWCDXPD5   JOB55251      ZY81  5124033877
 06/25/2015   19:47:03   06/25/2015    19:49:42            5          5   PRT72              JE1094P1    prd1ips      ZY81  5124033895
 06/25/2015   19:47:04   06/25/2015    19:49:42            5          5   PRT72              JE1094P2    prd1ips      ZY81  5124033896
 06/25/2015   19:47:06   06/25/2015    19:49:57           20         12   PRT72              JE1094P3    prd1ips      ZY81  5124033898
 06/25/2015   19:47:30   06/25/2015    19:49:57            4          4   PRT72              JE1094P4    prd1ips      ZY81  5124033897
 06/25/2015   19:48:08   06/25/2015    19:50:07           24         13   PRT72              JE1136P1    prd1ips      ZY81  5124033892
 06/25/2015   19:48:09   06/25/2015    19:50:27           34         18   PRT72              JE1136P3    prd1ips      ZY81  5124033894
 06/25/2015   19:50:47   06/25/2015    19:51:19           16         12   PRT72              JK0803P1    prd1ips      ZY81  5124033899
 06/25/2015   20:01:46   06/25/2015    20:02:10            6          4   PRT72              PWCCNP62   JOB57516      ZY81  5124033905
 06/25/2015   20:01:47   06/25/2015    20:02:20           12          7   PRT72              PWCCNP90   JOB57086      ZY81  5124033903
 06/25/2015   18:51:13   06/25/2015    20:10:27          736        369   PRT73              #8556155   JOB52886      ZY81  5124033850
 06/25/2015   20:06:31   06/25/2015    20:11:24          199        199   PRT73              #8552569   JOB53415      ZY81  5124033855
 06/25/2015   20:17:06   06/25/2015    20:18:07           62         32   PRT72              JK0239P1    prd1ips      ZY81  5124033941
 06/25/2015   20:17:08   06/25/2015    20:18:07            4          3   PRT72              JK0240P1    prd1ips      ZY81  5124033942
 06/25/2015   20:17:10   06/25/2015    20:18:07            4          3   PRT72              JK0240P2    prd1ips      ZY81  5124033943
 06/25/2015   20:08:23   06/25/2015    20:18:12          976        489   PRT73              PWCCNP8S   JOB57399      ZY81  5124033904
 06/25/2015   20:17:12   06/25/2015    20:18:49           58         30   PRT72              JK0243P1    prd1ips      ZY81  5124033945
 06/25/2015   20:17:16   06/25/2015    20:18:49           32         32   PRT72              JK0257P1    prd1ips      ZY81  5124033948
 06/25/2015   20:17:28   06/25/2015    20:18:52           94         48   PRT73               CN5070A   infosele      ZY81  5124033938
 06/25/2015   20:18:14   06/25/2015    20:20:17           36         19   PRT74               CN1110A   infosele      ZY81  5124033906
 06/25/2015   20:18:19   06/25/2015    20:20:28           30         16   PRT74               CN1110B   infosele      ZY81  5124033907
 06/25/2015   20:18:24   06/25/2015    20:20:28           16          9   PRT74               CN1110C   infosele      ZY81  5124033908
 06/25/2015   20:18:28   06/25/2015    20:20:38           42         22   PRT74               CN1110D   infosele      ZY81  5124033909
 06/25/2015   20:18:34   06/25/2015    20:20:38           14          8   PRT74               CN1110E   infosele      ZY81  5124033910
 06/25/2015   20:18:38   06/25/2015    20:20:49           36         19   PRT74               CN1110F   infosele      ZY81  5124033911
 06/25/2015   20:17:19   06/25/2015    20:20:57          262        132   PRT72              JK0422P1    prd1ips      ZY81  5124033939
 06/25/2015   20:17:30   06/25/2015    20:20:57            4          3   PRT72              JK0444P1    prd1ips      ZY81  5124033952
 06/25/2015   20:18:43   06/25/2015    20:20:59           50         26   PRT74               CN1110G   infosele      ZY81  5124033912
 06/25/2015   20:17:33   06/25/2015    20:21:04           68         35   PRT72              JK1206P1    prd1ips      ZY81  5124033946
 06/25/2015   20:18:50   06/25/2015    20:21:09           38         20   PRT74               CN1110H   infosele      ZY81  5124033913


                                         Report of Latest Completed Jobs

   Start        Start       End         End          Pages     Sheets
   Date         Time        Date        Time        Printed    Printed   Printer       JobName           JOBID      Form     GlobalID
 ----------  ----------  ----------   ----------   ---------- ----------  -----  --------------------   --------  --------  ----------
 06/25/2015   20:18:56   06/25/2015    20:21:14           28         15   PRT74               CN1110I   infosele      ZY81  5124033914
 06/25/2015   20:20:19   06/25/2015    20:21:19           28         15   PRT74               CN1110J   infosele      ZY81  5124033915
 06/25/2015   20:18:07   06/25/2015    20:24:45          482        242   PRT72              JK1207P1    prd1ips      ZY81  5124033947
 06/25/2015   20:26:23   06/25/2015    20:27:02          112        112   PRT70       Blank_Large_Job   infosele  BlankJob  2942506699
 06/25/2015   20:26:18   06/25/2015    20:27:03           24         13   PRT74               CN1160A   infosele      ZY81  5124033926
 06/25/2015   20:26:22   06/25/2015    20:27:13           30         16   PRT74               CN1160B   infosele      ZY81  5124033927
 06/25/2015   20:26:27   06/25/2015    20:27:13           24         13   PRT74               CN1160C   infosele      ZY81  5124033928
 06/25/2015   20:26:32   06/25/2015    20:27:18           22         12   PRT74               CN1160D   infosele      ZY81  5124033929
 06/25/2015   20:26:35   06/25/2015    20:27:20           58         30   PRT72              JK0612P1    prd1ips      ZY81  5124033954
 06/25/2015   20:26:36   06/25/2015    20:27:24           28         15   PRT74               CN1160E   infosele      ZY81  5124033930
 06/25/2015   20:26:40   06/25/2015    20:27:29           22         12   PRT74               CN1160F   infosele      ZY81  5124033931
 06/25/2015   20:26:44   06/25/2015    20:27:34           22         12   PRT74               CN1160G   infosele      ZY81  5124033932
 06/25/2015   20:26:37   06/25/2015    20:27:35           34         18   PRT72              JK0612P2    prd1ips      ZY81  5124033953
 06/25/2015   20:26:48   06/25/2015    20:27:39           26         14   PRT74               CN1160H   infosele      ZY81  5124033933
 06/25/2015   20:26:53   06/25/2015    20:27:49           28         15   PRT74               CN1160I   infosele      ZY81  5124033934
 06/25/2015   20:27:05   06/25/2015    20:27:54           24         13   PRT74               CN1160J   infosele      ZY81  5124033935
 06/25/2015   20:26:25   06/25/2015    20:27:59         1063        532   PRT70              JK0801P2    prd1ips      ZY81  5124033875
 06/25/2015   20:27:10   06/25/2015    20:28:33          772        388   PRT70              JK0801P3    prd1ips      ZY81  5124033874
 06/25/2015   20:27:49   06/25/2015    20:29:52         1563        784   PRT70              JK0801P4    prd1ips      ZY81  5124033876
 06/25/2015   20:28:30   06/25/2015    20:30:03          224        113   PRT74               CN1130A   infosele      ZY81  5124033916
 06/25/2015   20:28:54   06/25/2015    20:30:41          172         87   PRT74               CN1130B   infosele      ZY81  5124033917
 06/25/2015   20:29:04   06/25/2015    20:30:55         1018        510   PRT70              JK0801P5    prd1ips      ZY81  5124033873
 06/25/2015   20:29:57   06/25/2015    20:31:13          648        326   PRT70              JK0810P1    prd1ips      ZY81  5124033857
 06/25/2015   20:29:14   06/25/2015    20:31:29          198        100   PRT74               CN1130C   infosele      ZY81  5124033918
 06/25/2015   20:29:42   06/25/2015    20:31:50          184         93   PRT74               CN1130D   infosele      ZY81  5124033919
 06/25/2015   20:30:04   06/25/2015    20:32:04         1038        520   PRT70              JE1064P6    prd1ips      ZY81  5124033868
 06/25/2015   20:30:21   06/25/2015    20:32:35          224        113   PRT74               CN1130E   infosele      ZY81  5124033920
 06/25/2015   20:26:27   06/25/2015    20:32:40         1232        617   PRT75  CN2200B_Combined_LF1   infosele      ZY50  5124033936
 06/25/2015   20:31:08   06/25/2015    20:33:36          220        111   PRT74               CN1130F   infosele      ZY81  5124033921
 06/25/2015   20:31:55   06/25/2015    20:34:14          192         97   PRT74               CN1130G   infosele      ZY81  5124033922
 06/25/2015   20:32:35   06/25/2015    20:35:06          294        148   PRT74               CN1130H   infosele      ZY81  5124033923
 06/25/2015   20:33:36   06/25/2015    20:35:41          180         91   PRT74               CN1130I   infosele      ZY81  5124033924
 06/25/2015   20:35:12   06/25/2015    20:36:15           34         18   PRT73              #7011969   JOB58948      ZY81  5124033958
 06/25/2015   20:34:14   06/25/2015    20:36:22          200        101   PRT74               CN1130J   infosele      ZY81  5124033925
 06/25/2015   20:35:14   06/25/2015    20:36:29           74         38   PRT73              #7016845   JOB58809      ZY81  5124033957
 06/25/2015   20:35:18   06/25/2015    20:40:44          502        252   PRT73              #7016845   JOB58809      ZY81  5124033961
 06/25/2015   20:36:32   06/25/2015    20:40:44            3          3   PRT73              AD36455P   JOB58941      ZY81  5124033955
 06/25/2015   20:30:56   06/25/2015    20:41:39         2586       1294   PRT75  CN2200B_Combined_SF1   infosele      ZY50  5124033937
 06/25/2015   20:37:02   06/25/2015    20:44:15          532        532   PRT73              AD36645P   JOB59081      ZY81  5124033960
 06/25/2015   20:35:19   06/25/2015    20:47:07         1342       1341   PRT78              AD36455P   JOB58941      ACHX  5124033956
 06/25/2015   20:30:32   06/25/2015    20:50:14         1824        914   PRT70              JK0241P1    prd1ips      ZY81  5124033944
 06/25/2015   20:49:33   06/25/2015    20:51:21         1234        618   PRT70              JK0414P1    prd1ips      ZY81  5124033951
 06/25/2015   20:50:55   06/25/2015    20:51:21           10          8   PRT72              JK0269P3    prd1ips      ZY81  5124033964
 06/25/2015   20:50:26   06/25/2015    20:51:27          112        112   PRT70       Blank_Large_Job   infosele  BlankJob  2942506699
 06/25/2015   20:50:56   06/25/2015    20:51:41           34         20   PRT72              JK0269P4    prd1ips      ZY81  5124033966
 06/25/2015   20:50:59   06/25/2015    20:51:41            3          3   PRT72              JK0271P1    prd1ips      ZY81  5124033968
 06/25/2015   20:51:02   06/25/2015    20:51:51           20         11   PRT72              JK0351P1    prd1ips      ZY81  5124033963
 06/25/2015   20:51:04   06/25/2015    20:51:56            6          4   PRT72              JK0817P1    prd1ips      ZY81  5124033969
 06/25/2015   20:50:27   06/25/2015    20:53:51         2954       1480   PRT70              JK0269P1    prd1ips      ZY81  5124033967
 06/25/2015   20:53:02   06/25/2015    20:55:35         1406        704   PRT70              JK0505M1    prd1ips      ZY81  5124033965
 06/25/2015   20:53:24   06/25/2015    20:55:35          112        112   PRT70       Blank_Large_Job   infosele  BlankJob  2942506699
 06/25/2015   21:02:08   06/25/2015    21:02:57           58         58   PRT73              KDDPCW01   JOB60337      ZY81  5124033971
 06/25/2015   21:02:50   06/25/2015    21:03:17            9          8   PRT78              JE1088P1    prd1ips      Q178  5124033888


                                         Report of Latest Completed Jobs

   Start        Start       End         End          Pages     Sheets
   Date         Time        Date        Time        Printed    Printed   Printer       JobName           JOBID      Form     GlobalID
 ----------  ----------  ----------   ----------   ---------- ----------  -----  --------------------   --------  --------  ----------
 06/25/2015   21:04:48   06/25/2015    21:05:14           14         14   PRT72              JE1136P2    prd1ips      Q497  5124033893
 06/25/2015   21:04:54   06/25/2015    21:06:35          182         93   PRT73              #8552515   JOB60473      ZY81  5124033973
 06/25/2015   20:50:43   06/25/2015    21:06:43         4454       2228   PRT74              #7016845   JOB58809      ZY81  5124033962
 06/25/2015   21:05:03   06/25/2015    21:09:43          442        222   PRT73  CN2100A_Combined_SF1   infosele      ZY81  5124033901
 06/25/2015   21:04:55   06/25/2015    21:13:03         1098        550   PRT74              #8552054   JOB59933      ZY81  5124033970
 06/25/2015   21:07:27   06/25/2015    21:14:05          224        113   PRT72              JK0339P1    prd1ips      ZY18  5124033949
 06/25/2015   21:07:33   06/25/2015    21:14:46           98         50   PRT72              JK0368P1    prd1ips      ZY18  5124033950
 06/25/2015   21:14:12   06/25/2015    21:15:07           74         38   PRT73              AD3PO225   JOB60966      ZY81  5124033979
 06/25/2015   21:17:09   06/25/2015    21:17:29            4          3   PRT73  EC1000A_Combined_SF1   infosele      ZY81  5124033976
